City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
325,wamba,8.9333,8.6,95.88,24,83,8.03,NG,1681319670
326,progreso,21.2833,-89.6667,86.11,58,65,8.5,MX,1681319671
327,ahuimanu,21.4447,-157.8378,74.91,77,40,14.97,US,1681319671
328,asau,46.4333,26.4,47.32,91,100,3.42,RO,1681319170
329,vila franca do campo,37.7167,-25.4333,63.01,73,88,2.8,PT,1681319196
330,huarmey,-10.0681,-78.1522,79.03,76,87,8.39,PE,1681319672
331,teahupoo,-17.8333,-149.2667,73.36,74,20,5.26,PF,1681319316
332,severo-kurilsk,50.6789,156.125,30.92,96,100,21.5,RU,1681319176
333,iquitos,-3.7481,-73.2472,89.64,74,75,3.44,PE,1681319673
334,ndjole,-0.1783,10.7649,79.03,88,100,2.06,GA,1681319674
335,ales,44.1333,4.0833,61.88,62,100,11.03,FR,1681319674
336,antalaha,-14.9003,50.2788,78.08,81,36,1.63,MG,1681319674
337,waipawa,-41.4122,175.5153,54.52,87,97,3.58,NZ,1681319674
338,touros,-5.1989,-35.4608,85.28,67,72,15.93,BR,1681319024
339,corinth,37.9407,22.9573,58.89,65,18,13.35,GR,1681319675
340,sibu,2.3,111.8167,73.78,96,76,0.38,MY,1681319675
341,enshi,30.3,109.4833,63.75,90,98,2.21,CN,1681319676
342,gaoua,10.2992,-3.2508,103.06,9,80,8.63,BF,1681319676
343,khani,41.9563,42.9566,44.17,98,100,3.85,GE,1681319676
344,catalina foothills,32.2979,-110.9187,85.75,19,0,5.99,US,1681319676
345,houma,29.5958,-90.7195,69.8,84,100,16.11,US,1681319677
346,kizukuri,40.8061,140.3861,41.11,73,8,14.61,JP,1681319677
347,karratha,-20.7377,116.8463,83.98,71,100,2.26,AU,1681318910
348,marsh harbour,26.5412,-77.0636,73.13,80,100,26.42,BS,1681319677
349,constantine,36.365,6.6147,81.81,17,0,18.41,DZ,1681319677
350,sabha,27.0377,14.4283,72.0,10,0,5.46,LY,1681319678
351,kamaishi,39.2667,141.8833,43.03,68,3,6.17,JP,1681319678
